Ref,Val,Package,PosX,PosY,Rot,Side
"AE1","Antenna","0479480001",120.550000,-104.500000,0.000000,top
"C1","2.2uF","C_0402_1005Metric",125.150000,-99.700000,90.000000,top
"C2","2.2uF","C_0402_1005Metric",128.650000,-94.800000,180.000000,top
"C3","18pF","C_0402_1005Metric",114.425000,-103.975000,0.000000,top
"C4","18pF","C_0402_1005Metric",114.425000,-104.925000,0.000000,top
"C5","10u","C_0603_1608Metric",112.900000,-100.210000,-90.000000,top
"C6","22pF","C_0402_1005Metric",109.175000,-97.725000,180.000000,top
"C7","2.2uF","C_0402_1005Metric",112.400000,-94.575000,90.000000,top
"C8","10u","C_0603_1608Metric",111.025000,-102.025000,180.000000,top
"C9","100n","C_0402_1005Metric",122.700000,-94.200000,0.000000,top
"C10","TBD","C_0402_1005Metric",122.400000,-102.125000,180.000000,top
"C11","TBD","C_0402_1005Metric",123.025000,-105.475000,-90.000000,top
"C12","100n","C_0402_1005Metric",112.425000,-96.350000,-90.000000,top
"C13","100n","C_0402_1005Metric",116.800000,-102.800000,180.000000,top
"C14","10u","C_0603_1608Metric",124.400000,-95.100000,90.000000,top
"C15","100n","C_0402_1005Metric",123.700000,-99.200000,0.000000,top
"C19","10u","C_0603_1608Metric",111.622500,-97.980000,180.000000,top
"D1","RED","LED_0603_1608Metric_Compact",103.300000,-94.400000,0.000000,top
"D2","GRN","LED_0603_1608Metric_Compact",103.300000,-105.600000,0.000000,top
"D3","BLU","LED_0603_1608Metric_Compact",131.900000,-94.400000,0.000000,top
"D4","MHPA1010RGBDT","LED_Lumex_SML-LX0303SIUPGUSB",124.600000,-97.500000,-90.000000,top
"FB1","240R","L_0402_1005Metric",113.800000,-94.025000,0.000000,top
"FB2","240R","L_0402_1005Metric",123.700000,-100.200000,180.000000,top
"FB3","240R","L_0402_1005Metric",113.350000,-102.150000,180.000000,top
"J1","USB_C","USB_C_Receptacle_HRO_TYPE-C-31-M-12",102.400000,-100.000000,-90.000000,top
"L1","2.2uH","L_0805_2012Metric",111.025000,-95.450000,-90.000000,top
"L2","TBD","L_0402_1005Metric",123.025000,-103.600000,-90.000000,top
"P0","0","Pin_Header_Straight_Round_1x01_Castellated",103.810000,-107.620000,0.000000,top
"P1","1","Pin_Header_Straight_Round_1x01_Castellated",106.350000,-107.620000,0.000000,top
"P2","2","Pin_Header_Straight_Round_1x01_Castellated",108.890000,-107.620000,0.000000,top
"P3","3","Pin_Header_Straight_Round_1x01_Castellated",111.430000,-107.620000,0.000000,top
"P4","4","Pin_Header_Straight_Round_1x01_Castellated",113.970000,-107.620000,0.000000,top
"P5","5","Pin_Header_Straight_Round_1x01_Castellated",116.510000,-107.620000,0.000000,top
"P6","6","Pin_Header_Straight_Round_1x01_Castellated",119.050000,-107.620000,0.000000,top
"P7","7","Pin_Header_Straight_Round_1x01_Castellated",121.590000,-107.620000,0.000000,top
"P8","8","Pin_Header_Straight_Round_1x01_Castellated",124.130000,-107.620000,0.000000,top
"P9","9","Pin_Header_Straight_Round_1x01_Castellated",126.670000,-107.620000,0.000000,top
"P10","10","Pin_Header_Straight_Round_1x01_Castellated",129.210000,-107.620000,0.000000,top
"P11","11","Pin_Header_Straight_Round_1x01_Castellated",131.750000,-107.620000,0.000000,top
"P12","12","Pin_Header_Straight_Round_1x01_Castellated",134.290000,-107.620000,0.000000,top
"P13","13","Pin_Header_Straight_Round_1x01_Castellated",134.290000,-92.380000,180.000000,top
"P14","14","Pin_Header_Straight_Round_1x01_Castellated",131.750000,-92.380000,180.000000,top
"P15","15","Pin_Header_Straight_Round_1x01_Castellated",129.210000,-92.380000,180.000000,top
"P16","16","Pin_Header_Straight_Round_1x01_Castellated",126.670000,-92.380000,180.000000,top
"P17","17","Pin_Header_Straight_Round_1x01_Castellated",124.130000,-92.380000,180.000000,top
"P18","18","Pin_Header_Straight_Round_1x01_Castellated",121.590000,-92.380000,180.000000,top
"P19","19","Pin_Header_Straight_Round_1x01_Castellated",119.050000,-92.380000,180.000000,top
"P20","20","Pin_Header_Straight_Round_1x01_Castellated",116.510000,-92.380000,180.000000,top
"P21","21","Pin_Header_Straight_Round_1x01_Castellated",113.970000,-92.380000,180.000000,top
"P22","22","Pin_Header_Straight_Round_1x01_Castellated",111.430000,-92.380000,180.000000,top
"P23","23","Pin_Header_Straight_Round_1x01_Castellated",108.890000,-92.380000,180.000000,top
"P24","GND","Pin_Header_Straight_Round_1x01_Castellated",101.270000,-107.620000,0.000000,top
"P25","GND","Pin_Header_Straight_Round_1x01_Castellated",134.290000,-100.000000,90.000000,top
"P26","GND","Pin_Header_Straight_Round_1x01_Castellated",103.810000,-92.380000,180.000000,top
"P27","3V3","Pin_Header_Straight_Round_1x01_Castellated",106.350000,-92.380000,180.000000,top
"P28","3V3","Pin_Header_Straight_Round_1x01_Castellated",134.290000,-102.540000,90.000000,top
"P29","VIN","Pin_Header_Straight_Round_1x01_Castellated",101.270000,-92.380000,180.000000,top
"P30","CDONE","Pin_Header_Straight_Round_1x01_Castellated",134.290000,-94.920000,90.000000,top
"P31","CRESET","Pin_Header_Straight_Round_1x01_Castellated",134.290000,-97.460000,90.000000,top
"R1","1M","R_0402_1005Metric",107.000000,-105.400000,-90.000000,top
"R2","5k1","R_0402_1005Metric",108.225000,-98.750000,180.000000,top
"R3","5k1","R_0402_1005Metric",108.250000,-102.125000,180.000000,top
"R4","22E","R_0402_1005Metric",111.000000,-99.725000,180.000000,top
"R5","22E","R_0402_1005Metric",111.000000,-100.725000,180.000000,top
"R6","2k2","R_0402_1005Metric",122.850000,-98.200000,0.000000,top
"R7","453k","R_0402_1005Metric",109.175000,-96.750000,180.000000,top
"R8","100k","R_0402_1005Metric",107.750000,-97.225000,90.000000,top
"R9","2k2","R_0402_1005Metric",122.850000,-96.275000,0.000000,top
"R10","10k","R_0402_1005Metric",114.450000,-105.900000,0.000000,top
"R11","330E","R_0402_1005Metric",105.400000,-94.200000,0.000000,top
"R12","330E","R_0402_1005Metric",105.400000,-105.800000,0.000000,top
"R13","2k2","R_0402_1005Metric",126.150000,-94.675000,180.000000,top
"R14","2k2","R_0402_1005Metric",122.850000,-97.250000,0.000000,top
"RN1","10k","R_Array_Convex_4x0402",134.250000,-105.000000,0.000000,top
"SW1","TACT","SW_SPST_3x4x2.5",110.550000,-104.500000,180.000000,top
"U1","USBLC6-2","SOT-666",108.687500,-100.500000,0.000000,top
"U2","LY68L6400SLIT","SOIC-8_3.9x4.9mm_P1.27mm",129.225000,-98.000000,0.000000,top
"U3","ESP32-S2","QFN-56-1EP_7x7mm_P0.4mm_EP5.6x5.6mm",117.700000,-98.150000,180.000000,top
"U4","W25Q128JV","SOIC-8_5.23x5.23mm_P1.27mm",128.350000,-103.575000,0.000000,top
"U5","TPS62290","WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm_ThermalVias",108.750000,-95.000000,180.000000,top
"Y1","40MHz","Crystal_SMD_Abracon_ABM10-4Pin_2.5x2.0mm",116.750000,-104.850000,180.000000,top
