Reference, Quantity, Value, Footprint, Datasheet, Mfg, PN, Source
AE1 ,1,"Antenna","obsidian-boa:0479480001","~","Molex","0479480001",""
C1 C2 C7 ,3,"2.2uF","Capacitor_SMD:C_0402_1005Metric","","Yageo","CC0402MRX5R5BB225",""
C10 C11 ,2,"TBD","Capacitor_SMD:C_0402_1005Metric","","","","ANY"
C3 C4 ,2,"18pF","Capacitor_SMD:C_0402_1005Metric","","Yageo","CC0402GRNPO9BN180",""
C5 C8 C14 C19 ,4,"10u","Capacitor_SMD:C_0603_1608Metric","~","Yageo","CC0603KRX5R5BB106",""
C6 ,1,"22pF","Capacitor_SMD:C_0402_1005Metric","~","Yageo","CC0402KRNPO9BN220",""
C9 C12 C13 C15 ,4,"100n","Capacitor_SMD:C_0402_1005Metric","","Yageo","CC0402ZRY5V7BB104",""
D1 ,1,"RED","obsidian-boa:LED_0603_1608Metric_Compact","","Lite-On Inc.","LTST-C191KRKT",""
D2 ,1,"GRN","obsidian-boa:LED_0603_1608Metric_Compact","","Lite-On Inc.","LTST-C191KGKT",""
D3 ,1,"BLU","obsidian-boa:LED_0603_1608Metric_Compact","","Lite-On Inc.","LTST-C191TBKT",""
D4 ,1,"FM-B2020RGBA-HG","LED_SMD:LED_Lumex_SML-LX0303SIUPGUSB","~"
FB1 FB2 FB3 ,3,"240R","Inductor_SMD:L_0402_1005Metric","~","Murata Electronics","BLM15BC241SN1D",""
J1 ,1,"USB_C","pkl_connectors:USB_C_Receptacle_HRO_TYPE-C-31-M-12","https://www.usb.org/sites/default/files/documents/usb_type-c.zip","GCT","USB4105-GF-A",""
J2 ,1,"PROG","pkl_pin_headers:PinHeader_2x05_P2.54mm_Vertical_SMD","~"
JP1 ,1,"Jumper","Jumper:SolderJumper-2_P1.3mm_Bridged2Bar_RoundedPad1.0x1.5mm","","","","ANY"
L1 ,1,"2.2uH","Inductor_SMD:L_0805_2012Metric","~"
L2 ,1,"TBD","Inductor_SMD:L_0402_1005Metric","~"
